Sample,BioRep,TimePoint,Aur
LL_1_bc1,bc1,0,0
LL_1_bc2,bc2,0,0
LL_1_bc3,bc3,0,0
LL_1_bc4,bc4,0,0
LL_1_bc5,bc5,0,0
LL_2_bc1,bc1,0.5,0
LL_2_bc2,bc2,0.5,0
LL_2_bc3,bc3,0.5,0
LL_2_bc4,bc4,0.5,0
LL_2_bc5,bc5,0.5,0
LL_3_bc1,bc1,1,0
LL_3_bc2,bc2,1,0
LL_3_bc3,bc3,1,0
LL_3_bc4,bc4,1,0
LL_3_bc5,bc5,1,0
LL_4_bc1,bc1,0.5,150
LL_4_bc2,bc2,0.5,150
LL_4_bc3,bc3,0.5,150
LL_4_bc4,bc4,0.5,150
LL_4_bc5,bc5,0.5,150
LL_5_bc1,bc1,1,150
LL_5_bc2,bc2,1,150
LL_5_bc3,bc3,1,150
LL_5_bc4,bc4,1,150
LL_5_bc5,bc5,1,150
LL_6_bc1,bc1,2,150
LL_6_bc2,bc2,2,150
LL_6_bc3,bc3,2,150
LL_6_bc4,bc4,2,150
LL_6_bc5,bc5,2,150
LL_7_bc1,bc1,3,150
LL_7_bc2,bc2,3,150
LL_7_bc3,bc3,3,150
LL_7_bc4,bc4,3,150
LL_7_bc5,bc5,3,150
LL_8_bc1,bc1,0.5,200
LL_8_bc2,bc2,0.5,200
LL_8_bc3,bc3,0.5,200
LL_8_bc4,bc4,0.5,200
LL_8_bc5,bc5,0.5,200
LL_9_bc1,bc1,1,200
LL_9_bc2,bc2,1,200
LL_9_bc3,bc3,1,200
LL_9_bc4,bc4,1,200
LL_9_bc5,bc5,1,200
LL_10_bc1,bc1,2,200
LL_10_bc2,bc2,2,200
LL_10_bc3,bc3,2,200
LL_10_bc4,bc4,2,200
LL_10_bc5,bc5,2,200
LL_11_bc1,bc1,3,200
LL_11_bc2,bc2,3,200
LL_11_bc3,bc3,3,200
LL_11_bc4,bc4,3,200
LL_11_bc5,bc5,3,200
